month,combined,mini
Jan-13,305.5,21.4
Feb-13,308.7,22.4
Mar-13,288.8,21
Apr-13,304.8,21.9
May-13,301,22
Jun-13,321.2,23.5
Jul-13,302,21.7
Aug-13,316.4,23.3
Sep-13,323.5,23.6
Oct-13,302.5,22
Nov-13,317.3,23.2
Dec-13,312.6,22.2
Jan-14,321.7,22.1
Feb-14,316.7,22.4
Mar-14,295.4,21.4
Apr-14,314,22.7
May-14,298.4,21.2
Jun-14,331.7,23.9
Jul-14,314.1,22.3
Aug-14,323.8,23.7
Sep-14,318.9,23
Oct-14,310.5,22.6
Nov-14,322.2,23.7
Dec-14,306.5,22.4
Jan-15,329.6,23.3
Feb-15,316.3,22.4
Mar-15,293.6,21.6
Apr-15,314.5,23.4
May-15,308.4,21.4
Jun-15,312,23
Jul-15,306.4,22.9
Aug-15,310.7,23.4
Sep-15,310.5,23.2
Oct-15,300.3,23
Nov-15,313.9,23.6
Dec-15,303.7,23.6
Jan-16,321.3,24.1
Feb-16,300.7,22.8
Mar-16,297.7,23.6
Apr-16,303.8,24.2
May-16,300.6,24.2
Jun-16,309.8,22
Jul-16,304.3,22.5
Aug-16,304.6,22.9
Sep-16,312.4,24.6
Oct-16,299.9,23.2
Nov-16,299.4,23.2
Dec-16,299,23.8
